12/30/2020 Display Warehouse Stocks of Material                                       1
---------------------------------------------------------------------------------------------------------------------------
| SLoc|Material  |Material Description          |Batch     |  Unrestr.|   Blocked|Qual.Insp.|   Total Value|   Total Value|
| FPGI|80324485  |SWFR Wet L&V 6/24ct TS        |0296B68700|        0 |        0 |        1 |         0.00 |         0.00 |
| FPGI|80324528  |SWFR WET CLOTH Frsh 115/64CT  |0311B68700|        0 |       17 |        0 |         0.00 |     9,773.98 |
| FPGI|80324833  |SWFR Wet L&V 12/12ct TS       |0215B687H1|        0 |       32 |        0 |         0.00 |       440.42 |
| FPGI|80324833  |SWFR Wet L&V 12/12ct TS       |0236B6870H|        0 |       96 |        0 |         0.00 |     1,321.26 |
| FPGI|80324836  |SWFR Wet HD OWF 6/20ct TS     |0297B68700|        0 |        0 |        2 |         0.00 |         0.00 |
---------------------------------------------------------------------------------------------------------------------------
12/30/2020 Display Warehouse Stocks of Material                                       2
---------------------------------------------------------------------------------------------------------------------------
| SLoc|Material  |Material Description          |Batch     |  Unrestr.|   Blocked|Qual.Insp.|   Total Value|   Total Value|
|-------------------------------------------------------------------------------------------------------------------------|
| FPGI|80324836  |SWFR Wet HD OWF 6/20ct TS     |0303B68700|        0 |        0 |        1 |         0.00 |         0.00 |
| FPGI|80324837  |SWFR Wet HD L&V 6/20ct TS     |0341B68700|        0 |        0 |        1 |         0.00 |         0.00 |
| FPGI|80324849  |SWFR Wet XL 500/1ct Bulk TS   |0342B68700|       16 |        0 |        0 |       813.23 |         0.00 |
| FPGI|80325052  |OS WC BW Dragonblast 4/21oz/6 |0288B687S0|        0 |      102 |        0 |         0.00 |       417.92 |
| FPGI|80325154  |SWFR Wet HD OD Pet 6/20ct TS  |0327B68700|        0 |        0 |        2 |         0.00 |         0.00 |
| FPGI|80325154  |SWFR Wet HD OD Pet 6/20ct TS  |0350B68700|        0 |        0 |        1 |         0.00 |         0.00 |
| FPGI|80328073  |SWFR DSTR 180 SK 252/28ct DRP |0207B687H1|        0 |        2 |        0 |         0.00 |     1,319.12 |
| FPGI|80328073  |SWFR DSTR 180 SK 252/28ct DRP |0227B687H0|        0 |        2 |        0 |         0.00 |     1,319.12 |
| FPGI|80328073  |SWFR DSTR 180 SK 252/28ct DRP |0320B6870U|        0 |        1 |        0 |         0.00 |       659.56 |
| FPGI|80328073  |SWFR DSTR 180 SK 252/28ct DRP |0329B68700|        0 |        1 |        0 |         0.00 |       659.56 |
| FPGI|80328083  |SWFR Dstr 360 SK 126/14 BJs TS|0314B68700|        0 |        0 |        1 |         0.00 |         0.00 |
| FPGI|80328083  |SWFR Dstr 360 SK 126/14 BJs TS|0350B687U1|        0 |        1 |        0 |         0.00 |       307.61 |
| FPGI|80328221  |OS RC BW Icon 4/21oz          |0343B68700|        0 |        1 |        0 |         0.00 |         4.22 |
| FPGI|80329878  |PN SH SMOOTH & SLEEK 6 12.6Z  |0304B68700|        0 |        2 |        0 |         0.00 |         8.41 |
| FPGI|80330034  |BOUNCE SHT FREE&GENTLE 6/250U |9337B6870H|        0 |       66 |        0 |         0.00 |       872.90 |
| FPGI|80330518  |SWFR Wet Cloth Lav 6/12ct TS  |0363B68700|        0 |        0 |       72 |         0.00 |         0.00 |
| FPGI|80330519  |SWFR Wet Cloth Lav 12/12ct TS |0350B68700|        0 |        0 |        1 |         0.00 |         0.00 |
| FPGI|80330523  |SWFR Wet Cloth Lav 6/24ct TS  |0305B68700|        0 |        0 |        1 |         0.00 |         0.00 |
